estado,id,oracion
positivo,34,"' cuando hablamos de la cuarta revolución industrial y pensamos específicamente en el campo nos referimos al cambio de procesos en el campo , la inteligencia artificial , bigdata , sensores , machine learning , dejan atrás las libretas de campo en papel y se extienden cada vez más facilitando procesos ."
positivo,36,"' de este viaje nos trajimos la experiencia de cómo guizhou logró una gran explotación del bigdata , como forma de potenciar su matriz productiva ."
negativo,39,' desde ciertos sectores del periodismo a las herramientas del bigdata o inteligencia_artificial se las suele ver como amenazas .
positivo,41,' desde la ética podemos crear espacios de reflexión mediante el estudio de casos para incorporar valores en el proceso de utilización y gestión del bigdata y la construcción de algoritmos .
positivo,43,"' disrupción ' fue el término que trajimos de una conferencia de avanzada que delineó los ejes por donde discurren los nuevos desafíos para la producción de alimentos : inteligencia artificial , bigdata , drones , y el adn de las 10 empresas que están revolucionando el agro a nivel mundial ."
positivo,44,"' el ' bigdata ' va a permitir construir política pública en el gobierno de manera mucho más acertada ' , dijo a efe el ministro colombiano de tecnologías de la información y las comunicaciones ( tic ) , diego luna , quien destacó que colombia aspira a convertir en un centro de conexiones en latinoamérica sobre este tema ."
positivo,46,"' el análisis de bigdata , una tarea realizada típicamente en lote por su naturaleza , permite que una organización ordene y analice grandes volúmenes de información estructurada y no estructurada para facilitar la detección de socios y empleados impostores o conjuntos de actividades fraudulentas o abusivas , criminales o conspirativas ' , afirmó avivah litan , analista de gartner ."
positivo,47,"' el año pasado , el cambio más marcado fue la explosión de productos de servicios de bigdata ' , subraya amartino ."
negativo,50,"' el bigdata comienza a afectar cada aspecto de nuestra existencia ' , dice smolan ."
positivo,51,"' el bigdata es muy importarte , ya aprendimos la hoja de ruta del desarrollo en china ' , dijo el gobernador , y agregó que también el cannabis , la zona franca y el parque industrial en perico , ocuparán a decenas de trabajadores ."
positivo,52,' el bigdata es muy útil para el diagnóstico .
positivo,53,"' el bigdata es para estudiar comportamientos , pero no necesariamente existe una invasión a la privacidad de datos personales ' , opinó capobianco ."
positivo,54,' el bigdata es un instrumento psicopolítico muy eficiente que permite adquirir un conocimiento integral de la dinámica inherente a la sociedad de la comunicación .
positivo,55,"' el bigdata es una herramienta para acumular no sólo riquezas si no poder , hoy los datos son el nuevo petróleo , de hecho las capitales financieras del mundo ya no se arman en los puertos como antes , si no donde están los datos ' , insiste jara ."
positivo,56,"' el bigdata hoy se debate en las 3 ' v ' : volumen , velocidad y variedad ' , señaló christian oviedo , gerente de ingeniería de vates al comienzo del encuentro que presenció infonegocios ."
positivo,57,"' el bigdata nos ha ayudado a nosotros y creemos que ayudará también a nuestros clientes en la toma de decisiones , en la gestión más eficiente de los recursos y , en última instancia , en revertir los beneficios de este caudal de información , no solo en sus clientes o usuarios directos , sino también en la sociedad ' , señaló el director del área de datos de telefónica , en cuya unidad se integra luca , chema alonso ."
positivo,58,"' el bigdata pasa por los nuevos usos y perspectivas , no tanto por la información en sí ' , dice ."
positivo,59,' el bigdata permite hacer pronósticos sobre el comportamiento humano .
positivo,60,"' el bigdata significa una gran explosión en la cantidad de datos que se tratan continuamente , pero todos esos datos son inservibles si no se les puede sacar el provecho para obtener conclusiones que se puedan volcar nuevamente al negocio ."
positivo,61,' el bigdata y la inteligencia_artificial sirven para recopilar un montón de información y luego para interpretar esos datos .
positivo,62,"' el concepto de poder predecir el futuro ' tiene mucho que ver con bigdata , porque el análisis de datos obtiene resultados ' ."
positivo,63,"' el dato es el nuevo petróleo ' planteó mauricio rucci de la voz del interior cuando habló sobre ' bigdata : entender lo que no vemos ' , un recorrido por la implementación del ' design thinking ' en el diario ."
positivo,64,"' el desafío es cómo hacer que el bigdata no sea sólo para el mercadeo , sino para mejorar las políticas públicas ' , concluyó ."
positivo,65,"' el intendente quiere transformar a neuquén en una ciudad inteligente y sustentable y esta decisión se vincula con ese propósito , al igual que los estudios que realizamos con bigdata - smart step , la digitalización de los trámites y el plan para cambiar el sistema de iluminación tradicional por led ' , dijo garcía ."
positivo,66,"' el mercadeo puede tomar experiencias de otras industrias como la de la aviación , que fue pionera en usar el bigdata para ser más eficiente - dijo pardo - ."
positivo,70,"' el proyecto de bigdata nos permitió cruzar toda la información de sensores , junto con información no estructurada de redes_sociales y del servicio 147 de call center ."
positivo,71,"' el término en sí es vago , pero está llegando a algo que es real ' , dice jon kleinberg , un especialista en informática de la universidad cornell en ithaca , nueva york . ' bigdata es un rótulo para un proceso que tiene la posibilidad de transformar todo ' ."
negativo,72,"' el uso de bigdata no está cerrada a gobiernos y corporaciones ; grupos criminales anónimos pueden abusar esa información también ' , dice nye ."
positivo,73,' el uso de bigdata produce un acceso más rápido y certero ; el tema es saber cómo las empresas van a aprovechar esos datos para tomar decisiones en forma ágil y adaptar sus procesos velozmente .
positivo,74,"' el volumen de información crece 59% todos los meses , en tanto el valor del bigdata alcanza , solo en reino unido , unos us$ 75 billones ."
positivo,75,"' ellos son bigdata , ambiente y movilidad urbana , modernización el sistema del boleto preferencial , sistema de monitoreo y alerta temprana de calidad del agua ' ."
positivo,77,"' en américa latina estamos transitando la etapa de encuadre y evaluación ' , afirmó keller , y destacó que la adopción de soluciones de bigdata tendrá un impulso gracias a las tecnologías de cloud computing , que permiten contar con infraestructura más elástica ."
negativo,81,' en el universo del bigdata hay también lo que podríamos llamar ricos y pobres de datos .
positivo,82,"' en este universo de datos donde lo dominante es la incertidumbre y la ambigüedad , las herramientas de bigdata y big analytics ( herramientas de procesamiento y análisis de datos masivos ) nos permiten llegar a conclusiones precisas y concretas ' , ha señalado michael karasick , vicepresidente y director del laboratorio ibm research almaden ( estados unidos ) ."
positivo,83,"' en jujuy estamos trabajando en la implementación de bigdata ' , sostuvo morales , que precisó que ' este foro es el más importante de china en dicho campo , y allí vamos a suscribir un acuerdo complementario que permitirá el traslado hasta china , de un equipo provincial argentino , para concurrir al departamento de big data de guizhou , ' y vendrán también expertos chinos a nuestra provincia para ayudar a desarrollar este importante sector en jujuy ' , aseguró morales ."
positivo,84,"' en jujuy estamos trabajando en la implementación de bigdata ; este foro es el más importante de china en dicho campo , y allí vamos a suscribir un acuerdo complementario : va a venir un equipo provincial argentino al departamento de bigdata de guizhou y vendrán también expertos chinos a nuestra provincia para ayudar a desarrollar este importante sector en jujuy ' , sostuvo morales ."
positivo,85,"' en jujuy estamos trabajando en la implementación de bigdata ; este foro es el más importante de china en ese campo , y allí vamos a suscribir un acuerdo complementario : va a venir un equipo provincial argentino al departamento de bigdata de guizhou y vendrán también expertos chinos a nuestra provincia para ayudar a desarrollar este importante sector en jujuy ' , sostuvo morales ."
positivo,87,' en las actividades deportivas este mecanismo se utiliza desde antes de que se llamara bigdata .
positivo,88,"' en las ciudades , la revolución del bigdata pasa por abrir los datos y ponerlos al servicio de la ciudadanía , de los emprendedores , del sector privado , para que con ellos puedan pensar nuevas soluciones que mejoren la calidad de vida ."
positivo,89,"' en latinoamérica grandes industrias como la minería , energía , gas y petróleo ya están usando tecnología que aplica el iiot y el bigdata para lograr convertir sus organizaciones en ' empresas conectadas ' ."
negativo,90,' es algo que sólo se puede hacer con bigdata ' . bigdata tiene sus riesgos .
negativo,91,"' es habitual que el gobierno utilice ' bigdata ' para introducir noticias falsas ' por su parte , el diputado del partido unidad ciudadana , juan cabandié , expresó a rt que la explicación del gobierno de macri sobre el tema es muy escasa : ' la respuesta del ejecutivo fue que tuvieron reuniones con varias empresas , pero no pueden especificar si tuvieron reuniones con cambridge para hacer campañas ' , comentó ."
positivo,96,"' es un orgullo que alta nos elija para hacer su foro de seguridad , aprovechando además la apertura de los datos de aerolíneas argentina que enriquecen la bigdata , el trabajo integrado y permiten trabajar en la planificación de la seguridad que trasciende fronteras y compete a toda la región ' , concluyó ."
positivo,98,"' es un programa - continuó - que aplicando inteligencia_artificial , procesando bigdata , estamos hoy arriba de tres mil niñas , trabajando con niveles de predestinación de cerca del 90% , respecto a posibilidades por marco social , por formación , por núcleo familiar , por lo que sea , que se plantean esas cosas ."
positivo,99,"' es una nueva forma de relacionar con el cliente , aprovechando las capacidades de inteligencia_artificial con el conocimiento del consumo y usos que hacen los clientes de la compañía ' , explicó a infobae , horacio mansilla , director de bigdata de la compañía ."
positivo,100,"' es uno de nuestros pilares estratégicos y apuntamos a crear canales digitales y a transformar las jornadas de nuestros clientes punta a punta en canales físicos y remotos , mientras que a través de bigdata llegamos con ofertas que crean valor y facilitan la vida ' , explica ."
positivo,101,"' esas informaciones de valor para tomar ventajas competitivas es uno de los focos más importantes del bigdata ' , apuntó ."
positivo,102,"' eso sí , dejemos la fantasía de que el bigdata es algo alejado , ajeno a nuestras vidas ' , advierte para los que aún permanecen escépticos ."
negativo,107,"' estamos presenciando un proceso de investigación mundial sobre el uso indebido de bigdata , información personal y redes_sociales con el único objetivo de hacer campañas electorales en distintos países , incluida argentina , orientadas a desprestigiar líderes populares y favorecer gobiernos aliados al sistema financiero planetario ' , sostuvieron ."
positivo,108,' estamos trabajando en la puesta en marcha de un nuevo medio de pago que estamos testeando y tenemos también un proyecto de bigdata para mejorar la experiencia de usuario .
positivo,110,' este año apuntamos a crear una sinergia con el sector académico para realizar estudios con técnicas de bigdata y análisis de un gran volumen de datos de movilidad que recolectamos durante los últimos años con la plataforma .
positivo,116,"' evidentemente , las aplicaciones y los beneficios potenciales de bigdata son amplios ."
positivo,117,' generamos riqueza a partir del bigdata hace 10 años .
positivo,121,"' hacia allí es donde está yendo el mercado ' , dice . - ¿ qué cambios ha notado en los últimos años en los consumidores ? - el comportamiento en los últimos años de los consumidores ha ido cambiando debido a varios motivos , pero sin lugar a dudas el acceso a la tecnología en una pantalla de 7 ' , la necesidad de una mejor experiencia del usuario a la hora de buscar servicios , y la poca importancia de las nuevas generaciones en el sentido de pertenencia , ha generado que las compañías concentren toda su atención en los diferentes canales digitales , en la personalización de los servicios por medio del bigdata , lo cual les permite entender el comportamiento de sus consumidores y así poder anticipar a la demanda de estas nuevas generaciones ."
negativo,123,"' hasta que no se pueda analizar la información , lo que se estará haciendo no es bigdata , es solo almacenamiento ' , apuntó el ejecutivo ."
negativo,125,"' hay mucho que seguir de la nueva regulación europea , por caso , que quienes manejan los tratamientos de datos , sean masivos , sensibles o lo vinculado con bigdata , tengan la obligación de , antes de generar el tratamiento de datos , hacer un estudio de cuál va ser su impacto negativo ' ."
positivo,128,"' hay una empresa que hace análisis de bigdata solo para la moda , es un análisis muy interesante ."
negativo,129,' hay una gran amenaza a la intimidad con el bigdata .
positivo,130,"' hoy la industria del agro está siendo abrazada por el bigdata , y estamos avanzando en ello en todas nuestras líneas de producción ' aseguró franco donatti , gerente de operaciones de la planta ."
negativo,132,"' hoy nos enteramos que se firmó un dnu , un decreto , donde el presidente le transfiere a la jefatura de gabinete todo el manejo tecnológico de todos los datos , de toda la bigdata ' , afirmó cfk ."
negativo,133,"' hoy vemos el deterioro de la intimidad y del cuidado de los datos personales simbolizada a pocos días de las elecciones con un dnu del presidente , donde se remite a la jefatura de gabinete todo lo que podríamos definir como la bigdata de los argentinos ' , expresó cristina kirchner , quien además manifestó que el gobierno se queda con la información que podría ser utilizada para manipular a los argentinos ."
positivo,135,"' integrados a bigdata , tenemos acceso a la audiencia multiplataforma de clarín y , a través de redes_sociales , a la audiencia extendida , donde monitoreamos en tiempo real tendencias y comportamientos de los usuarios ."
negativo,137,"' la aplicación del bigdata supone un cambio disruptivo en este sector pero las decisiones son tomadas en última instancia por personas y , por tanto , podemos volver a repetir errores pasados ' ."
negativo,138,"' la arrogancia del bigdata ' , arrancan , ' es la suposición implícita de que pueden sustituir , en lugar de complementar , a la recopilación de datos y el análisis tradicional ' ."
positivo,139,' la bigdata que genera un sitio como vorterix ayuda en parte a ver cuáles son los comportamientos de los usuarios de ese sitio .
negativo,140,"' la bigdata significa una gran explosión en la cantidad de datos que se tratan continuamente , pero todos esos datos son inservibles si no se les puede sacar el provecho para obtener conclusiones que se puedan volcar nuevamente al negocio ' , evaluó el especialista ."
positivo,145,"' la era del bigdata nos provee una foto de nuestra cultura única en la historia y abre la puerta a preguntas sobre nuestra sociedad ' , dijo ."
positivo,146,' la explosión de datos catalizada por la digitalización del mundo ha puesto al bigdata como una herramienta ineludible para todos los segmentos de la sociedad .
positivo,147,"' la falta de conocimiento es un factor muy limitante para la adopción de bigdata ' , destacó ."
positivo,148,"' la gestión y el análisis de estas cantidades masivas de datos exigen nuevas soluciones que van más allá de los procesos tradicionales o herramientas de software habituales en la práctica diaria , lo que ha llevado a acuñar el termino ' bigdata analytics ' , agregó ."
positivo,149,"' la intención es poder explotar la industria del bigdata en la provincia , es por eso que el próximo mes enviaremos a una comitiva de empresarios para que se capaciten sobre cómo explotar esa industria ' dijo morales ."
positivo,150,"' la policía usa un sistema de evaluación basado en bigdata para determinar si un grupo de personas es sospechoso en función de lo que hace y a dónde va ' , explicó un vocero de la compañía en diálogo con financial times ."
positivo,153,"' la utilización del bigdata y la geolocalización facilita el envío de ofertas a teléfonos móviles a una persona que está en un shopping , por ejemplo ' , comenta luppi ."
positivo,154,"' la utilización del bigdata y la geolocalización facilita el envío de ofertas a teléfonos móviles a una persona que está en un shopping , por ejemplo ' , comentaluppi ."
negativo,155,"' la velocidad y la eficacia de los softwares médicos son una ventaja para profesionales y pacientes para conseguir un diagnóstico más rápido y preciso , pero el riesgo es que se viole la intimidad de las personas o que funcione mal la máquina porque cargamos información incorrecta , entonces será incorrecto el diagnóstico ' , dijo sonia canselier , investigadora de la universidad francesa de nantes , una de las disertantes del coloquio bigdata y salud que se realizó hasta hoy en la universidad católica argentina ."
positivo,156,"' la ventaja es que con el manejo de bigdata , podemos analizar ' , afirman ."
positivo,162,"' las tecnologías que utilizamos para encarar los proyectos de soluciones digitales para la industria 4 . 0 son técnicas aplicables a ‘bigdata’ ( capturar , almacenar y consultar grandes cantidades de datos complejos ) , ‘analytics’ ( para poder interpretar los datos y encontrar patrones representativos ) , ‘análisis predictivo’ ( técnicas de data mining para intentar predecir eventos futuros ) y ‘streaming analysis’ para analizar la información no estructurada y compleja , como videos ."
positivo,163,"' lo importante es tener historias para contar ' aseguró reymondes , que sobre su experiencia relató que ' contamos de manera amplificada cosas que no suelen contar y las vinculamos con la bigdata ' ."
positivo,164,"' lo novedoso del anteproyecto es que cuando se apliquen las técnicas de bigdata o data mining se deberá contar con un funcionario específico que revista el carácter de delegado de protección de datos y , además , se deberá hacer con carácter previo los estudios de riesgos para los datos personales ' , apunta bertoni ."
positivo,165,' lo que está claro es que las soluciones de bigdata son las más activas dentro del sector de it en éste momento .
positivo,166,"' lo que falta en argentina es revertir la cultura empresaria que no está acostumbrada a compartir información , porque utilizar bigdata implica se parte de una cultura colaborativa , que ayuda a crecer a todos ' , aseveró el licenciado en informática ."
positivo,167,"' lo que falta en argentina es revertir la cultura empresaria que no está acostumbrada a compartir información , porque utilizar bigdata implica ser parte de una cultura colaborativa , que ayuda a crecer a todos ' , aseveró el licenciado en informática ."
positivo,168,"' lo que hoy por hoy llamamos ' bigdata ' existía en los años 90 , existía en los años 80 y existía en los años 70 , porque teníamos una infraestructura y teníamos mucha información y cada vez se ha ido generando más información pero ambas han ido evolucionando a la par ' , agregó el experto ."
positivo,171,"' lo que supone el bigdata es la manera en que podemos aprovechar una gran cantidad de información que recolectamos durante años y otra que estamos generando en este momento ' , explicó luque , y afirmó que ' esa cantidad de datos tratada adecuadamente y de manera más o menos sofisticada , permite poder sacar conclusiones para tomar decisiones ' ."
positivo,172,"' logramos desarrollar una tecnología asertiva usando como fuente bigdata y herramientas de muy bajo costo para analizar los datos y llevar al celular de cada encargado ' , dice rafael sánchez , director de desarrollo de negocios de bsg ."
positivo,173,' los cálculos de consultoras especializadas indican que para fines de 2015 se habrán creado más de cuatro millones de empleos relacionados con bigdata y sólo el 30% será cubierto ' .
negativo,174,"' los casos de éxito con el bigdata que se cuentan en los congresos y en los medios muchas veces son lindas historias con más mercadeo que realidad ' , cuenta a la nacion juan damia , ceo de intellignos y representante para américa latina de la digital analytics association para el capítulo bigdata ."
positivo,176,"' los deportes norteamericanos clásicos ( fútbol americano , béisbol y básquetbol ) son los que apostaron a la profesionalización del estudio de estadísticas , inteligencia_artificial y análisis de bigdata para mejorar cada detalle de sus competiciones ."
negativo,177,"' los pacientes deben saber si su médico utiliza sistemas algorítmicos para hacer diagnósticos y qué tipo de datos usa ' , y a la vez , los profesionales de la salud ' necesitan entender cómo funciona el desarrollo informático que los asiste en sus decisiones ' , dijo sonia canselier , investigadora de la universidad francesa de nantes , una de las disertantes del coloquio bigdata y salud que se realizó hasta ayer en la universidad católica argentina ."
negativo,178,"' los pacientes deben saber si su médico utiliza sistemas algorítmicos para hacer diagnósticos y qué tipo de datos usa ' , y a la vez , los profesionales de la salud ' necesitan entender cómo funciona el desarrollo informático que los asiste en sus decisiones ' , dijo sonia canselier , investigadora de la universidad francesa de nantes , una de las disertantes del coloquio bigdata y salud que se realizó hasta hoy en la universidad católica argentina ."
positivo,179,"' los responsables de las políticas públicas deberían estar implementando políticas destinadas a guiar tendencias como la urbanización , el crecimiento de bigdata y el agrupamiento de personas en pequeñas comunidades , generalmente basado en su relación con el mercado ' , señala ."
positivo,181,"' más que bigdata , hablamos de objetivos de negocios , entendiendo el modelo del cliente y su estrategia : qué hacer con los datos ' , remarca matías varela , data & insights manager en iprospect ."
positivo,182,"' mediante el uso de diferentes aplicaciones se puede mejorar la calidad de los alimentos , obtener información de las condiciones climáticas , el estado del suelo y los cultivos plantados , además de ahorrar recursos naturales durante la producción ' , afirma omar vigetti , bigdata & analytics solution architect lad de oracle ."
positivo,183,"' mediante la bigdata y sus algoritmos de procesamiento , la empresa cada vez sabe más de sus empleados , usuarios y clientes ."
negativo,186,' ningún regulador ha tenido en cuenta que esto es un cambio en cómo concebimos el bigdata y la privacidad .
positivo,187,"' no es casualidad que en el foro económico mundial celebrado en junio en suiza , el concepto de bigdata haya sido protagonista ."
positivo,193,"' nuestras soluciones en los campos de la realidad virtual , robótica , impresoras 3d , drones , iot , computación cognitiva , redes neuronales , bigdata y analytics , son una muestra de cómo practia está transformando el mercado de los servicios de valor agregado basados en la nueva economía digital ' , explica el ejecutivo ."
positivo,194,"' nuestro foco es que nuestros clientes pueden crecer y transformar a través de la tecnología ; el bigdata , inteligencia_artificial y la realidad mixta colaboran en ese objetivo ' , señaló federico garcía , de lagash , compañía que cuenta con 15 años de experiencia en transformar procesos y negocios mediante soluciones tecnológicas ."
negativo,196,' o ' ¿ bigdata : estamos cometiendo un grave error ?
positivo,197,"' otro aspecto del ford smart mobility plan , es la expansión de las capacidades de análisis de datos o ' bigdata ' , que permitirá ofrecer servicios personalizados para los conductores ."
positivo,199,"' para desarrollar o actualizar los programas estamos atentos a las nuevas necesidades que va presentando el mercado , hace tres años por ejemplo fuimos pioneros con la diplomatura en bigdata en lo que se refiere a análisis de grandes volúmenes de datos estructurados y no estructurados , actualmente ya estamos dictando una especialización de esta temática ' , aseveró cortese , del itba ."
positivo,201,"' para lograr estos resultados , los equipos técnicos de la fundación sadosky y el banco hipotecario recurrirán al uso de técnicas basadas en i+d , apelando a novedosas herramientas informáticas y analíticas de ' bigdata ' que permitirán transformar datos en conocimiento mediante un enfoque innovador ."
positivo,203,"' permite cruzar múltiples fuentes de datos para una mejor comprensión y tener visibilidad del escenario completo ' , sostiene varela , que trabajó con soluciones de bigdata en campañas digitales de empresas como general motors ."
positivo,207,"' por otra parte , bigdata permite a los agricultores dar un gigantesco salto tecnológico y aumentar notablemente sus cosechas ."
positivo,208,"' por primera vez en la historia , estamos ofreciendo a los usuarios de ios las prestigiosas herramientas de bigdata y análisis de ibm , lo que abre una gran oportunidad de mercado para apple ."
positivo,209,"' por sí solo el bigdata resulta muy interesante , pero si además se combina con la publicidad se convierte en un mundo apasionante ."
positivo,218,"' se utiliza la tendencia del ' bigdata ' - recopilación y utilización de datos para mejorar el rendimiento empresarial - , de forma que podemos conocer en qué falla y en qué es bueno cada usuario que utiliza el simulador ' , agregó ."
negativo,219,"' según el econometrista , ' como todo remedio nuevo , bigdata viene con letra chica y contraindicaciones , y entenderlas permitirá aprovechar de lo bueno y evitar sus limitaciones ' ."
negativo,221,"' si el gobierno no abre los ojos , no demuestra tener corazón y piensa que puede llevar a los argentinos de la nariz con la bigdata , va a cometer un gran error histórico ."
positivo,224,"' sólo el procesamiento del ‘bigdata’ permitirá atenuar la complejidad de la producción , generada por la enorme variabilidad de factores que interactúan con la tecnología ' , insistió el especialista ."
positivo,226,"' sólo mediante herramientas tales como la ia , el bigdata y machine learning es posible captar y procesar en tiempo real la gran cantidad de datos ' , aseguró ."
positivo,229,' sumado a herramientas de automatización de aprendizaje ( machine learning ) y opciones de herramientas embebidas para visualizar ese gran volumen de datos en tiempo real ( bigdata ) posibilita elegir las kpis específicas para monitorear el negocio e inferir relaciones de esos datos .
positivo,232,"' tanto si utilizan aplicaciones que comparten fotos con millones de usuarios o si necesitan agilizar operaciones claves de la empresa como bases de datos , bigdata o altos niveles de procesamiento , reduciendo costos fijos y gastos de capital , una plataforma de servicios en la nube proporciona acceso rápido y flexible a recursos informáticos de bajo costo ' , amplió ."
positivo,233,"' tecnologías como la inteligencia_artificial y la realidad virtual , junto a la bigdata , ofrecen condiciones óptimas para una cuarta revolución industrial ' , aseguró el informe que marcó también ' el costo de quedar afuera ' de este proceso de evolución tecnológica ."
positivo,235,"' tenemos que aprender de ' los google ' , de los que manejan toda esa gigantesca información ( bigdata ) , para poder sacar conclusiones inteligentes ' , apuntó ."
positivo,236,"' tenemos que aprender de ‘los google’ , de los que manejan toda esa gigantesca información ( bigdata ) , para poder sacar conclusiones inteligentes ' , apuntó ."
positivo,242,"' todos mienten . bigdata , nueva data y todo lo que internet puede contar sobre quiénes somos realmente ' es un libro que analiza las búsquedas más habituales en la web y cómo son estas una ventana para entender la psiquis humana ' desde mi punto de vista parece haber una erosión del deseo sexual tal vez por las oscilaciones de aquel en relación con la vida de pareja ."
positivo,244,"' una ventaja es poder descubrir el rol de cada empleado en las redes internas , y esto es posible detectar gracias a la bigdata , ya que pueden convertir en influencers entre sus compañeros ' , agrega casielles ."
positivo,247,' uno piensa que hacer bigdata es algo casi imposible pero en realidad se puede hacer y gracias a eso se pueden dar soluciones simples para problemas complejos y eso es lo que nosotros buscamos como empresa ' señala lucas olmedo .
positivo,248,"' usando bigdata , por ejemplo , un gerente de recursos humanos puede detectar cuándo una persona valiosa está pensando en dejar la compañía e intentar una solución al problema antes de que sea demasiado tarde ' , ejemplificó verdonek ."
positivo,250,"' y bigdata , con su capacidad de explotar universos de datos de todo tipo , es claramente una potencial fuente de evidencias útiles a los negocios ."
negativo,251,"' y lo de los recursos humanos es cierto : los ceo se llenan la boca hablando de proyectos de bigdata y abren un departamento , pero no están consustanciados con lo que implica , hay muy pocas organizaciones que lo internalizan y están orientadas a hacer un buen uso de las bases de datos ."
negativo,263,"( dpa ) según la especialista en bigdata , laura lanzarini , lo que se publica en facebook ' puede ser utilizada por otras personas ' ."
positivo,266,"( istock ) la secretaría de tecnologías de la información y las comunicaciones , a cargo de héctor huici , creó el observatorio nacional de bigdata con el objeto de analizar la evolución de la tecnología de bigdata en relación a la innovación , beneficios tecnológicos , políticos , económicos y sociales en un marco sustentable ."
positivo,267,"( pedro lázaro fernández ) el jefe de bigdata de clarín aseguró que gracias a la política de brand safety del medio , todos los datos de los usuarios están encriptados y resguardados ."
positivo,282,"|| el bigdata ( grandes datos ) es una de las mayores innovaciones que las empresas y administraciones adoptarán durante los próximos 10 años para mejorar su competitividad , e implica nuevos desarrollos tecnológicos que transformarán profundamente nuestro entorno económico , empresarial y social , según adelantan los científicos de ibm research , una comunidad global de expertos en tendencias tecnológicas ."
positivo,283,"|| el bigdata es aplicable a todo en la vida : análisis de mercadotecnia , eficiencia energética , predicción de consumo , telecomunicaciones o valoraciones de riesgos en la bolsa ."
positivo,291,"|| gracias al bigdata , la medicina comienza un camino que marcará un antes y un después en la atención al paciente ."
positivo,301,"|| según el sitio , la visualización puesta a circular por el grupo ' big picture ' está basado en los análisis de bigdata y procesos de machine learning acerca de los artistas y álbumes que los usuarios de google play music tienen en sus bibliotecas musicales y en datos como la fecha de lanzamiento de los discos ."
positivo,303,"|| una nueva revolución verde || presentaron en inta rafaela un novedoso sistema de alimentación que incluye un carro forrajero innovador , como parte del programa de tecnología de punta que integra robótica , bigdata , sensores y un mapa global de conocimiento en la nube para aumentar la eficiencia alimenticia en tiempo real ."
