Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Lledó J., Simó-Noguera C.X., Pavía J.M.","55258829100;57194876448;25628568300;","Sexual abstention during lent in andalusia along the 20th century and its impact on the seasonality of births [AbstenciÓn sexual durante la cuaresma en andalucÍa a lo largo del siglo XX y su impacto en la estacionalidad de los nacimientos]",2018,"Revista Internacional de Sociologia","76","3",,"","",,2,"10.3989/ris.2018.76.3.17.12","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053700132&doi=10.3989%2fris.2018.76.3.17.12&partnerID=40&md5=69abea6a4c7107278dd0ba5153c29507","Universitat de València, Spain","Lledó, J., Universitat de València, Spain; Simó-Noguera, C.X., Universitat de València, Spain; Pavía, J.M., Universitat de València, Spain","A religious precept that forbids sexual intercourse during Lent has remained in effect for centuries in Catholic populations. This interdiction produces a decrease of conceptions and a rebound after that period, which are difficult to detect because in populations that did not exercise effective control of the fecundity a peak of conceptions is observed during the spring. At present, this precept has disappeared as a result of a process of erosion that we do not know enough. With the anony-mized data of all the people surviving at the beginning of 2003 and born in Andalusia (n=8,397,206), this paper aims to determine the importance of this interdiction and its vanishing process throughout the twentieth century. This process takes part with the decrease of fertility and the erosion of seasonality of births. Finally, it is also analyzed to what extent this transition to modernity is the result of a process of diffusion that has gone from municipalities with a big population size to small municipalities. Copyright: © 2018 CSIC.","Conception; Diffusion; Erosion; Fertility; Religious precepts",,,,"CSIC Consejo Superior de Investigaciones Cientificas",00349712,,,,"Spanish","Rev. Int. Sociol.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85053700132
"Criado J.I., Villodre J.","7005313780;57194852914;","Local public sector big data communication on social media. A sentiment analysis in Twitter [Comunicando datos masivos del sector público local en redes sociales. Análisis de sentimiento en twitter]",2018,"Profesional de la Informacion","27","3",,"614","623",,2,"10.3145/epi.2018.may.14","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049433814&doi=10.3145%2fepi.2018.may.14&partnerID=40&md5=1a2ab5308b50508646083bc0f5145940","Universidad Autónoma de Madrid, Departamento de Ciencia Política y Relaciones, Internacionales Ciudad Universitaria de Cantoblanco, Marie Curie, 1, Madrid, 28049, Spain","Criado, J.I., Universidad Autónoma de Madrid, Departamento de Ciencia Política y Relaciones, Internacionales Ciudad Universitaria de Cantoblanco, Marie Curie, 1, Madrid, 28049, Spain; Villodre, J., Universidad Autónoma de Madrid, Departamento de Ciencia Política y Relaciones, Internacionales Ciudad Universitaria de Cantoblanco, Marie Curie, 1, Madrid, 28049, Spain","The rapid adoption of social media by public administrations deserves attention from the side of institutional information and communication. One of the points recently identified is the tone used by public sector organizations to deliver their messages, as it may encourage citizen collaboration and participation. This paper explores the tone that Spanish city councils with more than 50,000 inhabitants are using in their social media profiles. This paper is based in two research questions: (a) What is the general tone used by the city councils in their use of social media?; (b) What explanatory factors are behind the adoption of one tone or another? Studying Twitter through big data techniques and statistical analysis, this study finds a positive general communicative tone. Traditional organizational, institutional and environmental factors do not seem to have a statistical significant influence over the tone. This article concludes with proposals for improvement on future research derived from the research results. © 2018 El Profesional de la Informacion. All rights reservsed.","Big data; City councils; Digital government; Local governments; Political communication; Public administrations; Public information; Sentiment analysis; Social media; Social networks; Spain; Twitter",,,,"El Profesional de la Informacion",13866710,,,,"Spanish","Prof. Inf.",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85049433814
"Segura E.A., VallsMartínez M.C.","57216920173;57202311437;","Strategic analysis of Ethical Banking in Spain through Triodos Bank. Financing social and environmental projects [Análisis estratégico de la banca ética en España a través de Triodos Bank. Financiación de proyectos sociales y medioambientales]",2018,"CIRIEC-Espana Revista de Economia Publica, Social y Cooperativa",,"92",,"87","120",,2,"10.7203/CIRIEC-E.92.10805","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047827128&doi=10.7203%2fCIRIEC-E.92.10805&partnerID=40&md5=d73459ddefc0a44504c7c988211122e8","Universidad de Almería, Spain","Segura, E.A., Universidad de Almería, Spain; VallsMartínez, M.C., Universidad de Almería, Spain","Objectives Banking with ethical values appears as an alternative to traditional banking, answering the need of integrating ethics with entrepreneurial activity, prioritising the social commitment face to the economical profitability. In this sense, ethical banking limits the credit to non-socially responsible projects and it provides financing to vulnerable groups and investment with a positive environmental and social impact, at the same time that all its activities are transparent. The objective of this paper is to study the origin and features of the ethical banking, establishing the main differences with the traditional model, to analyse its implantation in Spain and to review the conditions and initiatives that Triodos Bank makes to position itself as the leader bank with ethical values. Methodology The implantation level and development of the ethical financial companies in Spain (Triodos Bank España, Fiare Banca ética, Coop 57, Oikocredit España, etc.) has been analysed through the data of its financial statements. However, in order to study the Triodos Bank's corporate strategy, an external and internal analyse has been made. In this sense, the PESTEL analysis, which studies the Political, Economic, Sociocultural, Technological, Ecological and Legal factors that set up the environment and how they can affect the activity, is used to identify the factors of the general environment that influences the financial company's strategical position. Regarding to the competitive environment, the Porter's ""Five Forces"" model has been analysed, its main competitors have been differentiated, as well as its main threats and opportunities. In order to do the internal analysis, four models have been used in the entrepreneurial scope: first, the weaknesses and strengths found in Triodos have been determined; second, the resources that contribute a competitive advantage according to the VRIO model, have been analysed; third, the ""Value chain"" described by Porter for the company, which describes the development of the activities performed by the bank to create value for the customer, is studied; and, finally, the Triodos Bank's organizational structure and the social and environmental data, are analysed. Results The ethical banking's customers belong to groups with a high social commitment, who need to know the destiny of their savings. In the same way that it has happened in traditional financial companies, since the beginning of the crisis in the ethical institutions (Triodos Bank España, Fiare Banca ética, Coop 57, Oikocredit España, etc.) the capital destined to the loan transactions was overcome by the bank customers' savings; the trend has been increasing and it is remarkable that in 2016 the savings almost doubled the capital given in loans. The increase experienced by the ethical banking is also reflected in the 48.26% increase in the number of customers and users from 2013 to 2016, and in its amount of capital, which was almost 171 million euros in 2016, and all of this with a low rate of defaulting. Regarding to Triodos, whose beginning in Spain is in 1998, even though it was in 2004 when it was converted into Triodos Bank España, the assets managed were 13,454 million euros in 2016, with a 9.40% annual increase. Regarding the sustainable sectors that are financed by Triodos, and knowing that the aim is to allocate to credit between 65% and 75% of own funds, it is remarkable environment (38%), social (24%), culture and leisure (14%), and loans given to people, city councils and sustainable residential mortgages (24%). The Triodos Bank's strategic analysis shows that the distrust created by the non-ethical political practices has led to rules that search for the transparency of the financial system; moreover, the traditional banking's abusive practices have originated the demand of ethical products and companies by society. Likewise, the banking's development through the Internet and the mobile apps have implied the disappearance of regular offices. However, the threat of new financial companies in the sector of ethical finance is a reality, since the absence of a strict regulation for the ethical banking provokes that several traditional companies offer their saving and credit products under the name of sustainable, and this confuses customers. Nevertheless, Triodos is a European consolidated bank, it has a bigger infrastructure that its ethical competitors, it is a financially healthy company, with trained personal and it provides all kinds of financial products and services, what allows it to be competitive to face traditional banking. The model VRIO notes that a resource provides a competitive advantage if it has the attributes: valuable (V), rare or scarce (R), inimitable (I) and related to the organisation of the enterprise (O). If it is applied to Triodos Bank, we can be sure that human resources (staff who is trained and with experience in the banking sector) and the intangible resources (solid image of a financial group with a successful trajectory) are a sustainable competitive advantage, while the tangible resources (branch network) and the client portfolio which share the company values, suppose a competitive parity with the rest of banking companies. The Triodos' organizational structure, which is different from other financial companies and it is based in the Triodos' Foundation for the Administration of the Shares, allows it to have control of the decision making and not to be subjected to the shareholder's power, assuring the fulfilment of the ethi- cal values. On the other hand, the success of the implantation of Triodos depends to a great extent on the workers in the company, who have to be qualified and motivated with the mission and have to be able to put it in practice daily in the development of their work. The company has the commitment to invest an important amount of resources in training programs and professional development, with the purpose of training its workers. In this sense, the average expense in training by worker in 2016 was 1,731 euros. Practical conclusions and original value The inclusion of the ethical banking model in Spain is relatively recent; in fact, no companies like this have been created in the Spanish financial system as of yet. Up to now, the rule has been to stablish branch offices, following the model applied in other countries by consolidated companies, like Triodos Bank and Fiare Banca ética, and to act according to the lines of financing that lead to the development of sustainable projects, sharing actively this banking business segment with financial companies which are called traditional banking, like BBVA, CaixaBank and Banco Santander. This sector may become saturated and, somehow, dilute efforts to ensure that the perception of society is based on a business model that includes social, environmental, cultural and economic results. The cooperatives that trade ethical saving and financing products, like Oikocredit and Coop57, also have an important role to establish and consolidate an ethical finance model, though more residual. Ethical banking in order not to be a mere illusion associated with financial crisis periods and to become definitely in a consistent alternative, it should offer services and products similarly to the conventional banking and an economic and social profitability to contribute to their credibility and a clear differentiation in equality of conditions with the traditional banking. This paper provides a strategic analysis without precedents about ethical banking in Spain, focused on Triodos, which is the leader ethical banking company. Traditional methodologies of external and internal analysis have been applied to this newly created sector providing useful information to its future implantation, as the strengths and weaknesses of this sector have been shown. © 2018 CIRIEC-España.","Ethical Finance; Social Bank; Socially Responsible Investment; Strategic Plan; Triodos Bank",,"Segura, E.A.; Departamento de Economía y Empresa, Spain; email: eas297@ual.es",,"CIRIEC",19896816,,,,"Spanish","CIRIEC Esp. Rev. Econ. Publica Soc. Coop.",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85047827128
"Fernández-Manzano E.-P., González-Vasco M.-I.","57191172749;6506156362;","Vigilancia analítica: Modelos comerciales de datos masivos y concienciación sobre la privacidad [Analytic surveillance: Big data business models in the time of privacy awareness]",2018,"Profesional de la Informacion","27","2",,"402","409",,2,"10.3145/epi.2018.mar.19","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044983329&doi=10.3145%2fepi.2018.mar.19&partnerID=40&md5=c985800ed4ead60c53aaf394ae21506c","Universidad Rey Juan Carlos Edificio Departamental, Despacho 43 Camino del Molino, s/n., Fuenlabrada (Madrid), 28943, Spain; Universidad Rey Juan Carlos, Departamental II, Despacho 34, C/ Tulipán, s/n., Móstoles (Madrid), 28933, Spain","Fernández-Manzano, E.-P., Universidad Rey Juan Carlos Edificio Departamental, Despacho 43 Camino del Molino, s/n., Fuenlabrada (Madrid), 28943, Spain; González-Vasco, M.-I., Universidad Rey Juan Carlos, Departamental II, Despacho 34, C/ Tulipán, s/n., Móstoles (Madrid), 28933, Spain","Massive data collection and analysis is at the heart of many business models today. New technologies allow for fine-grained recommendation systems that help companies make accurate market predictions while also providing clients with highly personalized services. Because of this, extreme care must be taken when it comes to storing and managing personal (often highly sensitive) information. In this paper we focus on the influence of big data management in media business content platforms, mainly in well-known OTT (Over the Top) services. In addition, we comment on the implications of data management in social networks. We discuss the privacy and security risks associated with this novel scenario, and briefly comment on tools that aid in securing the privacy of business intelligence within this context.","Big data; Cryptography; Machine learning; OTT; Privacy; Security; Social networks",,,,"El Profesional de la Informacion",13866710,,,,"Spanish","Prof. Inf.",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85044983329
"Illera A.E., Mota I.M., Larruskain N.V.","57206778712;57206786483;57206778301;","Social big data: An opportunity for business and employment [El Social Big Data: Una Oportunidad Empresarial y laboral]",2018,"Estudios Sobre el Mensaje Periodistico","24","2",,"1213","1222",,,"10.5209/ESMP.62210","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061982568&doi=10.5209%2fESMP.62210&partnerID=40&md5=98376caee410977d82364eebb528b224","Universidad del País Vasco, Euskal Herriko Unibertsitatea, Spain","Illera, A.E., Universidad del País Vasco, Euskal Herriko Unibertsitatea, Spain; Mota, I.M., Universidad del País Vasco, Euskal Herriko Unibertsitatea, Spain; Larruskain, N.V., Universidad del País Vasco, Euskal Herriko Unibertsitatea, Spain","The scope of this article is to analyze the possibilities that the content generated in social networks by users offers for the enterprise strategies and how enterprises face the analysis of this data. Through a survey we find out that the enterprises in Basque Country know that big data reveal important information to them and they have already started to manage their big data, being a 40% of the survey respondents those who are working on big data managing strategies effectively. In addition to this, we find that the job profiles related to social big data strategies are also those of Communication areas. So there is a new job opportunity for more knowledge areas, not only the technique ones. © 2018 Universidad Complutense de Madrid. All Rights Reserved.","Basque enterprises; Big data; Digital communication; Social big data; Social networks",,,,"Universidad Complutense de Madrid",11341629,,,,"Spanish","Estud. Sobre Mensaje Periodistico",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85061982568
"Calvo P., Osal C.","55807553900;57200645887;","Whistleblowing & big data: Monitoring and compliance of ethics and social responsibility [Whistleblowing y datos Masivos: Monitorización y cumplimiento de la ética y la responsabilidad social]",2018,"Profesional de la Informacion","27","1",,"173","184",,,"10.3145/epi.2018.ene.16","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042066574&doi=10.3145%2fepi.2018.ene.16&partnerID=40&md5=4edd7d6da6640e84e07db3161ab4690a","Universitat Jaume I, Facultad de Filosofía y Sociología, Avda. Vicent Sos Baynat, s/n., Castellón de la Plana, 12071, Spain","Calvo, P., Universitat Jaume I, Facultad de Filosofía y Sociología, Avda. Vicent Sos Baynat, s/n., Castellón de la Plana, 12071, Spain; Osal, C., Universitat Jaume I, Facultad de Filosofía y Sociología, Avda. Vicent Sos Baynat, s/n., Castellón de la Plana, 12071, Spain","The big data revolution is a challenge and opportunity for companies. In the ethics and social responsibility domain, big data, and the increasingly more accessible and versatile data processing technology, allow companies to open up new communication channels, and to collect accurate, detailed, and constantly updated information about: their economic, social, and environmental impacts; interests and legitimate expectations involved; trust, reputation, and affinity that they arouse in their stakeholders; and the effects that their actions and decisions cause, among many other things. The objective of this study is to present a system that monitors and fulfills ethics and social responsibility which, based on whistleblowing, communication, storage, and processing of big data, along with stakeholders’ committed participation, offers companies the chance to examine their moral and emotional responsibilities in order to be able to rise to what this historic time demands.","Big data; Business ethics; Ethics of things; Intangible assets; Monitored business; Open big data; Social responsibility; Whistleblowing",,,,"El Profesional de la Informacion",13866710,,,,"Spanish","Prof. Inf.",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85042066574
"Puebla J.G.","57202423700;","Big data and new geographies: The digital footprint of human activity [Big Data i noves geografies: L’empremta digital de les activitats humans] [Big Data et nouvelles géographies: L’empreinte digitale des activités humaines] [Big Data y nuevas geografías: La huella digital de las actividades humanas]",2018,"Documents d'Analisi Geografica","64","2",,"195","217",,4,"10.5565/rev/dag.526","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048284274&doi=10.5565%2frev%2fdag.526&partnerID=40&md5=76ae88bbae22e47ba28ba0fb87bca366","Universidad Complutense de Madrid, Departamento de Geografía Humana, Spain","Puebla, J.G., Universidad Complutense de Madrid, Departamento de Geografía Humana, Spain","The term ‘big data’ has become popular in recent years and refers to the production of huge amounts of data. Human activity is captured through multiple networks of sensors and devices, thus leaving a digital footprint. The analysis of this digital footprint has a great potential for geographical research on human behavior. This article describes the main characteristics of big data and highlights the importance of massive data for science and particularly for the field of geography, focusing on the study of spatio-temporal patterns of human activity. © 2018, Universitat Autonoma de Barcelona. All rights reserved.","Big data; Geo-located data; Human behavior","data processing; geographical research; human activity; human behavior; sensor; spatiotemporal analysis","Puebla, J.G.; Universidad Complutense de Madrid, Spain; email: javiergutierrez@ghis.ucm.es",,"Universitat Autonoma de Barcelona",02121573,,,,"Spanish","Doc. Anal. Geogr.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85048284274
"Azurmendi A.","56690212300;","Children’s digital rights and big data. The European general data protection regulation (GDPR), 2016, and the Children’s online personal data protection act (Coppa) [Derechos digitales de los menores y datos masivos. Reglamento Europeo de protección de datos de 2016 y la coppa de Estados Unidos]",2018,"Profesional de la Informacion","27","1",,"27","35",,1,"10.3145/epi.2018.ene.03","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042091007&doi=10.3145%2fepi.2018.ene.03&partnerID=40&md5=26a4e6305460e8ef4a6bc31f28cd3283","Universidad de Navarra, Departamento de Comunicación Pública Edificio de Bibliotecas, Campus Universitario, Pamplona, Navarra  31080, Spain","Azurmendi, A., Universidad de Navarra, Departamento de Comunicación Pública Edificio de Bibliotecas, Campus Universitario, Pamplona, Navarra  31080, Spain","The impact of big data technologies on children’s data protection is very important. First of all because of children's vulnerability, due their lack of knowledge about the risks of an inadequate data management and, secondly, because the immense possibilities of traceability of a child or a group of children. Consequently, the negative effects in terms of future discrimination for their social and political participation, employability, usability of services, etc., could be immense. Europe has a new Law on protection of personal data (UE 2016/679). This paper examines in which way the Law pays attention to this particular area of protection of children. In order to value the proposals of the European Law, this paper studies comparatively some of the reports of the Working Group, art. 29, and the US law Children’s online personal data protection act (Coppa).","Big data; Children; Coppa; Data protection; Digital rights; The European law of personal data protection (GDPR)",,"Azurmendi, A.; Universidad de Navarra, Spain; email: aazur@unav.es",,"El Profesional de la Informacion",13866710,,,,"Spanish","Prof. Inf.",Article,"Final","",Scopus,2-s2.0-85042091007
"Marta-Lazo C., Iniesta-Alemán I., Sobrino M.Á.O.","55581613700;57201856228;57190617879;","Big data and business intelligence: besurt in the commercial firm ascaso [BIG DATA e Inteligencia empresarial: BESURT en la firma comercial Ascaso]",2018,"Opcion","34","Special Issue 18",,"2259","2275",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071147741&partnerID=40&md5=f6906d5b10f5985fc3d8b67bb4703ded","Universidad de Zaragoza, Spain; Universidad Complutense de Madrid, Spain","Marta-Lazo, C., Universidad de Zaragoza, Spain; Iniesta-Alemán, I., Universidad de Zaragoza, Spain; Sobrino, M.Á.O., Universidad Complutense de Madrid, Spain","In this article, the case analysis of the Spanish startup Besurt is presented, whose pilot experience on the application of data science in business organizations has been implemented in the commercial firm Ascaso, a centenary pastry shop. The Besurt system analyzed the behavior patterns in the three shops of the Huesca bakery to make a prediction. The first result of the application of data science to the objectives of this trade was materialized in the creation of the first Christmas basket designed with artificial intelligence. © 2018, Universidad del Zulia. All rights reserved.","Big data; Business intelligence; Data mining; Data science; Predictive analytics",,"Marta-Lazo, C.; Universidad de ZaragozaSpain; email: cmartalazo@gmail.com",,"Universidad del Zulia",10121587,,,,"Spanish","Opcion",Article,"Final","",Scopus,2-s2.0-85071147741
"Orellana S.S.B.","57209365439;","Treatment of personal data in the Chilean Judiciary System: Juridisctional Big brother? [Tratamiento de datos personales en el Poder Judicial de Chile: ¿El Gran Hermano jurisdiccional?]",2018,"Revista Chilena de Derecho y Tecnologia","7","2",,"27","44",,1,"10.5354/0719-2584.2018.49205","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067562697&doi=10.5354%2f0719-2584.2018.49205&partnerID=40&md5=afb4e8938aaebd0dd63878fa3a94ed28","Pontificia Universidad Católica de Chile, Chile","Orellana, S.S.B., Pontificia Universidad Católica de Chile, Chile","The Electronic Processing Law establishes new rules about the personal data treatment in the Chilean Judiciary System, which oppose the current Law 19,628. The multiple origins of the personal data incorporated in the database of the jurisdictional entity make complex the differentiation based in the principle of finality. The new norm, in conjunction with the principle of publicity, ends in a force transfer of the ownership of personal or sensible data from the people that use the Judiciary System. © 2018 Universidad de Chile. All rights reserved.","Electronic processing; Judiciary System; Personal data",,"Orellana, S.S.B.; Pontificia Universidad Católica de ChileChile; email: dalvarez@derecho.uchile.cl",,"Universidad de Chile",07192576,,,,"Spanish","Rev. Chil. Derecho Tecnol.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85067562697
"Rocha M.E.M.","57197917043;","Grandes datos, grandes desafíos para las ciencias sociales",2018,"Revista Mexicana de Sociologia","80","2",,"415","444",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045285527&partnerID=40&md5=b0b7dc65175edd40c095214ff2580e75","Universidad Nacional Autónoma de México, Tecnológico de Monterrey, Campus Ciudad de México, Mexico","Rocha, M.E.M., Universidad Nacional Autónoma de México, Tecnológico de Monterrey, Campus Ciudad de México, Mexico","This paper analyzes the current debate on Big Data in the Social Sciences, emphasizing certain epistemological discussions about its possible utility for the understanding of the social. The rhetoric about data as a source of value is analyzed as well as certain methodological proposals to explore social problems through the analysis of these social constructs. It is argued that this novel quantitative twist requires ethical treatment on the part of social scientists, a new scientific practice, but above all an objective view that will reveal its usefulness in understanding social phenomena. © 2018. Universidad Nacional Autónoma de México-Instituto de Investigaciones Sociales.","Big Data; Epistemology; Methodology; Social networks; Social Sciences",,"Rocha, M.E.M.; Universidad Nacional Autónoma de México, Mexico",,"Universidad Nacional Autonoma de Mexico",01882503,,,,"Spanish","Rev. Mex. Sociol.",Article,"Final","",Scopus,2-s2.0-85045285527
"De Paz-Báñez M.A., Asensio M.J., Sánchez-López C.","36631911900;57206894046;56185347500;","The data in the research on world economy [Los datos en la investigación de economía mundial]",2018,"Revista de Economia Mundial","2018","50",,"45","65",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062059061&partnerID=40&md5=e22bef0369f4273149f816174fef5490","Universidad de Huelva, Spain","De Paz-Báñez, M.A., Universidad de Huelva, Spain; Asensio, M.J., Universidad de Huelva, Spain; Sánchez-López, C., Universidad de Huelva, Spain","In this paper we show the most relevant changes in the available quantifiable information for the research on world economy. After a historical review, we identify the emergence of a new way of understanding the generation, analysis and publication of traditional data and indicators, as well as the proliferation of a new generation of complex indexes, in many cases still in the conceptualization phase. We conclude with a reflection on the challenges that researchers and teachers must face as part of this movement that can lead to a technical and methodological redefinition of research and global economic policy. © 2018, Universidad de Huelva. All rights reserved.","Big Data; Data Analysis; Indicators; International Statistics; Open Data; Synthetic Indexes; World Economy",,,,"Universidad de Huelva",15760162,,,,"Spanish","Revista de Economia Mundial",Article,"Final","",Scopus,2-s2.0-85062059061
"Arroyo J.L.","23990174800;","Characterization in Foundation’s trilogy: A quantitative study based on cluster analysis [Caracterización en la trilogía Foundation: Un estudio cuantitativo basado en el análisis clúster]",2018,"Artnodes","2018","22",,"10","21",,,"10.7238/a.v0i22.3200","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061970047&doi=10.7238%2fa.v0i22.3200&partnerID=40&md5=5bfc48a15e0983a25dd2dd67a171869b","Universidad de Sevilla / Universidad Pontificia Comillas, C. Alberto Aguilera 23, Madrid, 28015, Spain","Arroyo, J.L., Universidad de Sevilla / Universidad Pontificia Comillas, C. Alberto Aguilera 23, Madrid, 28015, Spain","This work analyses characterisation in Asimov’s Foundation trilogy, as one of the main objections to his work in general and this series in particular is the shallowness of the characters, which makes them very similar to each other. To determine the veracity of such criticism in a more objective manner, we have used a Big Data technique - cluster analysis, applied to a set of twenty-six characters in the trilogy, which have been previously evaluated according to the OCEAN model, with the factors defined in the NEO-PI-R test. The conclusion of this quantitative analysis is twofold. Firstly, the validity of this methodological proposal has been confirmed, at least for the specific case analysed, since the results are consistent with those of previous qualitative studies. Secondly, the characters, although not as shallow as often argued, have been shown to be somewhat lacking in roundness and development. © FUOC, 2018.","Asimov; Character analysis; Cluster analysis; Data mining; Foundation",,"Arroyo, J.L.; Universidad de Sevilla / Universidad Pontificia Comillas, C. Alberto Aguilera 23, Spain; email: jlarroyob@us.es",,"Universitat Oberta de Catalunya",16955951,,,,"Spanish","Artnodes",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85061970047
"Gómez-Barroso J.-L.","8938845500;","Use and value of personal information: An evolving scenario [Uso y valor de la información personal: Un escenario en evolución]",2018,"Profesional de la Informacion","27","1",,"5","18",,6,"10.3145/epi.2018.ene.01","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042078614&doi=10.3145%2fepi.2018.ene.01&partnerID=40&md5=5dcb3737e303e5326b010878b33702c9","Universidad Nacional de Educación a Distancia (UNED), Dpto. Economía Aplicada e Historia Económica, PºSenda del Rey, 11, Madrid, 28040, Spain","Gómez-Barroso, J.-L., Universidad Nacional de Educación a Distancia (UNED), Dpto. Economía Aplicada e Historia Económica, PºSenda del Rey, 11, Madrid, 28040, Spain","Our modern information societies are also –and especially– personal information societies. The collection of personal data has become the key asset for the development of digital markets. Even more, the way in which now people perceive and manage their privacy totally contrasts with the situation just a few years ago. Although these social transformations have accelerated recently, the process of modification of the scenario contextualising the use and value of personal information is ongoing for half a century. By means of the analysis of academic literature on the topic, this article describes such an evolution as well as the current interests of companies, citizens and public administrations regarding the disclosure and use of personal information.","Big data; Data collection; Digital markets; Personal information; Privacy; Rational behaviour",,"Gómez-Barroso, J.-L.; Universidad Nacional de Educación a Distancia (UNED), PºSenda del Rey, 11, Spain; email: jlgomez@cee.uned.es",,"El Profesional de la Informacion",13866710,,,,"Spanish","Prof. Inf.",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85042078614
"Rivera Díaz M.A.","57203391132;","Forest of tamarugos, an ethnohistorc approach for the study of paleoclimate in the atacama desert [Bosques de tamarugos, un acercamiento etnohistórico para el estudio del paleoclima en el desierto de atacama]",2018,"Dialogo Andino",,"56",,"119","139",,1,"10.4067/S0719-26812018000200119","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051461438&doi=10.4067%2fS0719-26812018000200119&partnerID=40&md5=94963c3019ade248b675028fbdac4bc2","Scientific Affiliate, Integrative Research Center, Field Museum of Natural History, Chicago, United States","Rivera Díaz, M.A., Scientific Affiliate, Integrative Research Center, Field Museum of Natural History, Chicago, United States","This paper complements the dendroarchaeology project by gathering data from maps, descriptions and observations from chroniclers, travelers, scientific missions, and church records, in historic times, in particular the existence of forests from XVI century on and the availability of water. By using ethnohistoric strategies about the dynamics of the landscape we tackle questions such as, what could have caused the loss of such big forests of Prosopis in some areas of the Atacama Desert? Were there any significant environmental changes that could have conditioned the arid landscape? What could have been the human impact on the environment and viceversa?. © 2018 Universidad de Tarapaca.","Dendroarchaeology; Desierto de Atacama; Ethnohistory; Pampa del Tamarugal; Tamarugos",,"Rivera Díaz, M.A.; Scientific Affiliate, United States; email: marivera41@gmail.com",,"Universidad de Tarapaca",07162278,,,,"Spanish","Dialogo Andino",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85051461438
"Fuentes A.R., Fernández A.D.F.","46461045100;57194852870;","Educational agents and multiculturalism in the classroom [Agentes educativos y multiculturalidad en el aula]",2018,"Educacao e Pesquisa","44",, e188506,"","",,,"10.1590/S1678-4634201844188506","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080112631&doi=10.1590%2fS1678-4634201844188506&partnerID=40&md5=ed53ef74a52f7aa6e4466a2dcb269746","Universidad de Granada, Granada, Spain; Consejería de Educación y Ciencia, Granada, Spain","Fuentes, A.R., Universidad de Granada, Granada, Spain; Fernández, A.D.F., Consejería de Educación y Ciencia, Granada, Spain","The dissemination of schooling of immigrant students and from other cultures together with the spread of inadequate school patterns of welcome and regrettable events concerning the ways these students are treated makes it necessary to study and to optmize the attitudes of teachers, students, and parents. Only the perceptive-attitudinal agreement/coherence around suitable patterns will prevent the cultivation of conflicts badly resolved that lead to the reproduction of unwanted situations. Three sectors or cases of different characteristics and contexts were interviewed in order to ensure representativeness, with the purpose of establishing patterns and differences between the groups and among them. For such, the statements of each interviewee were categorized e duly coded by using a system of a posteriori categories, in the absence of consolidated theoretical framework regarding the phenomenon which would have allowed the use of a priori categories. Further, content analysis was carried out by grouping and reducing the categories by means of metacategories; thus, perceptive patterns, not always appropriate, were detected in the groups studied, around the information of other cultures and formation for its treatment. Data have undergone percentage and differential analyses that point to significant divergences between parents and teachers as well as between them and their children and students. Minor are the internal differences among the members of each sector. Since the first ones are bigger than the second ones, as it appeared in this study, there is a generation conflict that needs to be resolved. © Emerson de Pietri.","Attitudes towards cultural diversity; Educational agents; Percepctions towards cultural diversity",,,,"Emerson de Pietri",15179702,,,,"Spanish","Educ. Pesqui.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85080112631
