doc_id,oracion,estado
1368,"el sistema cef utiliza lo que se denomina ' bigdata ' , es decir , entrecruzamiento de datos de muy diversos orígenes , con el fin de establecer un perfil de un individuo y analizar costumbres y consumos .",positivo
2306,"la jornada comenzará a las 8 . 30 con charlas vinculadas a las nuevas oportunidades en la industria digital , realidad virtual , bigdata , estrategia y creatividad , entre otros temas .",positivo
3508,"un especialista en bigdata debe saber expresar y exponer cómo ha identificado el problema de negocio y proponer soluciones , así como preparar informes explicativos que sean confiables y entendibles para los directivos de la compañía .",positivo
179,"' los responsables de las políticas públicas deberían estar implementando políticas destinadas a guiar tendencias como la urbanización , el crecimiento de bigdata y el agrupamiento de personas en pequeñas comunidades , generalmente basado en su relación con el mercado ' , señala .",positivo
1042,"el agro en la era del bigdata sistemas de datos , prescripción y sustentabilidad con visión a largo plazo son los conceptos que resonaron en el tour tecnológico que ofreció monsanto la semana pasada .",positivo
2207,"la desideologización va de la mano con la bigdata : cuando hay suficientes datos , la teoría sobra .",positivo
1290,"el objetivo es que la bigdata se convierta en smart data , en donde puedan filtrar qué es lo que aporta el contribuyente y puedan cruzar con aquellos datos que tienen que ver con lo que gastás .",positivo
1462,"en efecto , algunas compañías manufactureras están utilizando el ' bigdata ' para , por ejemplo , descubrir conexiones entre un método de producción determinado y el tipo de embalaje más conveniente según las formas de distribución .",positivo
1134,el bigdata y la analítica y el análisis predictivo están tomando un rol muy importante al momento de definir un buen mix .,positivo
3445,"tenemos que recuperar esa competitividad y para eso es necesario el cambio tecnológico , debemos incorporar tecnología siglo 21 : todo lo que tiene que ver con automatización de campos , bigdata para decisiones online… ahí es donde apunta la eficiencia .",positivo
2281,"la incorporación de bigdata , es decir adquirir herramientas que permitan usar los datos para tomar mejores decisiones , los ayudará a mantener competitivos en la era digital .",positivo
1671,"entonces , los datos obtenidos gracias al bigdata son una valiosa fuente de información para el sector público y para el privado .",positivo
2963,"pero lo que ha quedado claro durante el último mes , es que tarde o temprano la dinámica de los mercados termina revelando las debilidades macroeconómicas , y dejando expuestos a los gurúes del bigdata .",positivo
835,"con la analítica de bigdata , más empresas están creando nuevos productos para satisfacer las necesidades puntuales de los clientes .",positivo
1604,"en otras palabras , bigdata o grandes volúmenes de datos que , gracias a las herramientas informáticas de hoy , pueden ser analizados , comparados , almacenados , y pueden jugar a favor de las empresas .",positivo
2101,"inteligencia artificial y bigdata , aliados en el trabajo diario la redacción de futuro es hoy .",positivo
244,"' una ventaja es poder descubrir el rol de cada empleado en las redes internas , y esto es posible detectar gracias a la bigdata , ya que pueden convertir en influencers entre sus compañeros ' , agrega casielles .",positivo
2381,"la tecnología ha ido ganando mucho lugar en el fútbol en este último tiempo y de la mano fueron las métricas , las estadísticas con el famoso bigdata y el mercadeo .",positivo
1740,"es la magia del bigdata , considerada por la clase dirigente estadounidense como una herramienta capaz de revolucionar el proselitismo electoral .",positivo
3090,protagonistas bigdata : el gran reto de la economía digital el enorme caudal de datos digitales se ha convertido en un capital cada vez más valioso .,positivo
2279,la importancia que en el mercado empieza a tener bigdata es también un factor que impulsa el movimiento hacia una mayor digitalización de las empresas .,positivo
605,"apple adquirió una empresa de bigdata que le permitirá analizar elenorme volumen de información de localizaciones y mapas generado por los smartphones , los coches conectados y otros dispositivos con acceso a internet .",positivo
2774,"nota relacionada : ' bigdata es un concepto que tiene un potencial enorme ' estas técnicas han adquirido enorme importancia en áreas tales como estrategias de mercadeo , soporte de decisiones , planeamiento financiero y el análisis de datos científicos , entre otras .",positivo
3642,y es que el fútbol tiene todo el potencial para analizar a través de herramientas de bigdata y analytics .,positivo
2638,maluma sacó una nueva versión de su popular tema el perdedor utilizando bigdata .,positivo
3555,"uno de los desafíos de la sociedad del futuro parecería ser aprovechar esos datos para mejorar el mundo , especialmente el de las personas mayores , donde la edad en tiempos del bigdata es lo menos importante .",positivo
3652,"y lo mismo parece estar sucediendo con el fenómeno conocido como ' bigdata ' ( bigdata ) , el aumento exponencial de disponibilidad de datos en internet que para muchos economistas , pocos meses atrás , prometía una suba de la productividad sin precedente .",positivo
1102,"el bigdata es la clave para conocer y aprender sobre la evolución de las tendencias y de los intereses de las personas , es la clave de los negocios .",positivo
3403,también se promoverá el uso de bigdata en seguridad pública y en la lucha contra el delito .,positivo
1317,el principal objetivo de hacer bigdata analytics es ayudar a las empresas a tomar mejores decisiones .,positivo
1278,el negocio del ' bigdata ' ( sistemas de almacenamiento y transferencia de grandes cantidades de información ) acelerará su crecimiento y aumentará su penetración en el mercado .,positivo
3554,uno de esos ejemplos es el de un banco que se basó en un análisis de bigdata para determinar los mejores lugares para instalar cajeros automáticos .,positivo
567,"alierta insistió en que el bigdata proporciona a las operadoras una oportunidad diferencial que han de aprovechar , pues pocos sectores cuentan con un conocimiento tan profundo de sus propios clientes como el que ya tienen las empresas de telecomunicaciones .",positivo
3439,telefónica y huawei anunciaron un acuerdo para lanzar un paquete de productos de bigdata orientados a empresas que desean desarrollar tanto casos de uso internos como vender aplicaciones de datos a sus clientes .,positivo
1395,"el uso de grandes volúmenes de datos o bigdata en la asistencia sanitaria ' tiene como objetivo proporcionar a cada paciente una atención personalizada , que combine los mejores conocimientos científicos con la experiencia personal de los profesionales de la salud ' .",positivo
2422,las empresas pueden utilizar las herramientas de bigdata para cruzar los datos de los candidatos a un trabajo o detectar potenciales compradores de sus productos o servicios .,positivo
2862,"para eso creamos un centro de innovaciones , que ya está funcionando , para poder manejar esta bigdata analitycs , para poder anticipar a las conductas de los contribuyentes y predecir sus movimientos ' , agregó sin dejar dudas .",positivo
47,"' el año pasado , el cambio más marcado fue la explosión de productos de servicios de bigdata ' , subraya amartino .",positivo
1008,durante su visita por el ' social media day jujuy ' habló sobre la importancia de empezar a aplicar la inteligencia de datos para la consolidación de las empresas . - ¿ a qué se denomina bigdata ?,positivo
3566,"usar bigdata ' no es caro , porque la nube te da soluciones rápidas y baratas .",positivo
1840,"este año los temas principales son el uso del bigdata con fines sociales , su aplicación en entornos vulnerables , la relación entre género y tecnología , las apps cívicas y las nuevas herramientas digitales para ong .",positivo
197,"' otro aspecto del ford smart mobility plan , es la expansión de las capacidades de análisis de datos o ' bigdata ' , que permitirá ofrecer servicios personalizados para los conductores .",positivo
1243,el gran secreto aquí es el poder del bigdata o de los grandes volúmenes de datos .,positivo
1060,"el año pasado se destinaron 10 mil millones de dólares para potenciar innovaciones en inteligencia_artificial , bigdata , tecnología de blockchain ( insumo principal detrás del bitcoin y otras monedas digitales ) , contratos inteligentes ( smartcontracts ) y seguridad informática .",positivo
1229,"el fenómeno de bigdata refiere a grandes volúmenes de datos , estructurados o no , que crecen a un ritmo que excede la capacidad de captura , almacenamiento , administración y análisis que poseen las herramientas tradicionales de software de bases de datos .",positivo
1377,el tema de debate de la primera jornada de la tical se basó sobre ' la bigdata ' y el análisis predictivo cuya influencia podrían cambiar el escenario tic mundial .,positivo
427,"a través de ella y con la ayuda del bigdata y el internet of things , la firma apunta a crear una comunidad global que habla y respira polo en tiempo real .",positivo
3625,"y bigdata es eso , desde el gran volumen de información que está surgiendo con la irrupción de la tecnología , el crecimiento de las aplicaciones , de movilidad ' , describió .",positivo
535,"al respecto , contó que trabajan con una base de datos construida a modo de bigdata , que permitirá ofrecer productos y promociones adecuadas a las preferencias de los mismos .",positivo
1124,el bigdata se basa en sistemas informáticos que tienen como objetivo almacenar grandes cantidades de información en bases de datos para luego identificar comportamientos .,positivo
839,"con la misión de mejorar la relación entre la banca y el cliente , aprovecha más de 10 años de experiencia en ' bigdata '  , aprendizaje automático e inteligencia_artificial .",positivo
1208,el especialista apuntó que ' el bigdata aporta una forma de relacionar con los ciudadanos ' .,positivo
3644,"y es que los datos en masa ( o ' bigdata ) constituyen la materia prima de la nueva economía digital : alimentan los algoritmos y la inteligencia_artificial , conformando una especie de ' cerebro social ' que permite controlar los más diversos sectores .",positivo
2543,los científicos tenemos que tener una postura cauta que resulte de sopesar lo bueno con lo malo . bigdata tiene mucho para brindar en disciplinas donde hay aspectos inductivos y descriptivos .,positivo
397,"a modo de ejemplo , el prestigioso national bureau of economic research americano dio un espacio considerable a la temática de bigdata y algo similar ocurrió con la agenda de todas las reuniones científicas locales .",positivo
1164,"el deporte se alía con el bigdata , en pos del objetivo siempre buscado : mejorar el rendimiento , ganar , ser el mejor .",positivo
2292,"la innovación , la creatividad , el talento , la tecnología y el poder del bigdata se constituyen como una serie de postulados inevitables de nuestro presente .",positivo
1367,"el sistema cef , con tecnología de bigdata , entrecruzará toda esa información para obtener conclusiones sobre las costumbres y hábitos de los usuarios , para controlar si se condice con su capacidad contributiva .",positivo
817,"con el fenómeno de bigdata se crearon soluciones tecnológicas que alcanzan su poder : la posibilidad de leer millones de datos en tiempo real , analizar y establecer patrones valiosos .",positivo
1782,"eso es el ' bigdata ' , recuperar grandes volúmenes de información que se analiza para extraer elementos clave y predecir el futuro .",positivo
2950,pero como bloomreach tiene la capacidad de analizar el bigdata en tiempo real - tan pronto es recolectado - la página de guess puede ser actualizada automáticamente según los descubrimientos que se hayan hecho en cualquier momento .,positivo
27,"' con herramientas de automatización de aprendizaje ( machine learning ) y opciones embebidas para visualizar ese gran volumen de datos en tiempo real ( bigdata ) , es posible elegir las kpis específicas para monitorear el negocio e inferir relaciones de esos datos .",positivo
1052,"el análisis de grandes cantidades de información , conocido como bigdata , permite a las compañías tomar decisiones de negocio en poco tiempo .",positivo
2467,"las tecnologías de analítica avanzada como bigdata , internet de las cosas , inteligencia_artificial , drones y chatbots permiten recolectar información en tiempo real , para tomar decisiones que reinventan los procesos de negocios aumentando la productividad y la eficiencia .",positivo
1475,"en el comercio , el bigdata tiene el poder de permitir a las firmas adelantar al comportamiento del consumidor para ofrecerle lo que busca en el momento adecuado .",positivo
1114,"el bigdata o dataísmo , nombre de su novedosa metodología , transforma los datos obtenidos , en relaciones , información y conocimiento .",positivo
1867,"esto es el ' bigdata ' , que cada vez tiene mayor importancia en el sector agrícola .",positivo
874,"cuando empresas como amazon recomiendan qué libro leer , lo que hay detrás del proceso es ' bigdata ' .",positivo
2236,"la evolución de bigdata , afirma meneses , llegará del lado de real time analytics , es decir el análisis de información en tiempo real .",positivo
1964,"global pulse , una nueva iniciativa de naciones unidas , quiere dar más peso a bigdata para el desarrollo global .",positivo
1841,"este avance permite el análisis de grandes cantidades de información sanitaria y de estilo de vida para luego , mediante inteligencia_artificial , ofrecer opciones basadas en bigdata .",positivo
1907,experto en datosuna profesión con futuroel crecimiento de bigdata ha disparado una demanda de profesionales especialistas en análisis de datos y nuevas tecnologías que supera en mucho la oferta actual .,positivo
2144,"la adopción de bigdata para afinar la precisión de la información es una decisión que todos los países van a tener que tomar tarde o temprano , el nuestro incluido .",positivo
1461,"en diversos sectores de la economía y la gestión político - social , se están produciendo cambios internos facilitados por la agregación y el análisis de datos ( lo que se conoce como bigdata ) .",positivo
2579,"los medios de comunicación social impulsan el crecimiento del bigdata ; dentro de los próximos cinco años , van a dominar entre el 15% y el 20% de las cuestiones relativas a los medios .",positivo
1357,"el segundo indica que el mundo será regido por estados centrales que controlen grandes volúmenes de datos ( bigdata , en inglés ) .",positivo
3040,"por otro lado , netflix , por ejemplo , es capaz de saber exactamente quién eres con un 84% de exactitud con los datos de entre seis a ocho películas que usted esté evaluando para ver . – en el libro bigdata .",positivo
2137,"kilimo utiliza bigdata para proveer recomendaciones de riego en cultivos extensivos , buscando mejorar los rendimientos y reducir los costos directos del productor agropecuario .",positivo
3643,"y es que los datos en masa ( ' bigdata ' ) constituyen la materia prima de la nueva economía digital : alimentan los algoritmos y la inteligencia_artificial , conformando una especie de ' cerebro social ' que permite controlar los más diversos sectores .",positivo
1167,el desafío del bigdata la mayoría de las compañías argentinas empezaron sumando tecnología en sus procesos de gestión y trámites .,positivo
1970,"gracias a la ayuda del bigdata los pasajeros pueden seguir el recorrido de los autobuses , trenes y subtes en tiempo real y así , planificar sus viajes con precisión .",positivo
3518,un primer objetivo de mirar bigdata es descubrir patrones comerciales repetibles .,positivo
1399,el uso de la tecnología móvil es la gran revolución . - ¿ cómo es posible procesar y digerir la alta producción de contenidos por internet ? - estamos en la época del ' bigdata ' y de filtrar .,positivo
1191,el empresario piensa que la recolección de bigdata ( concepto que se refiere al almacenamiento de grandes cantidades de información ) relacionada con los estudiantes contribuye a mejorar y personalizar su educación .,positivo
2022,hay simples ( subir varios escalones para llegar a la terraza ) y complejos ( los factores que una persona analiza para comprar un producto ) bigdata : análisis y cruzamiento de una inmensa cantidad de información para detectar patrones determinados .,positivo
2808,"otras regiones como américa latina también acompañan la tendencia : impulsado por el vertiginoso crecimiento de las redes_sociales ( y la gran cantidad de información que con ellas se genera ) , el mercado del ' bigdata ' se muestra en ascenso .",positivo
1171,el desarrollo de la inteligencia_artificial y el bigdata tienen como objetivo el sistema educativo .,positivo
1137,"el cambio cultural , se da que en la actualidad con las nuevas herramientas de bigdata , las organizaciones ahora también son capaces de trabajar con datos desestructurados .",positivo
3459,"todas estas nuevas fuentes de información en las ciudades , incluso en las de nuestro país , forma grandes volúmenes de datos , con amplia cobertura espacial , detalle y en tiempo real ( o bigdata ) .",positivo
1925,"foto : gentileza . - ¿ qué es booster agro ? - es una aplicación agrometeorológica de bigdata , hoy utilizada por más de 25 mil productores , que les permite tener información sobre el clima e información agronómica para poder tomar mejores decisiones en sus campos .",positivo
841,con los nuevos cambios la empresa quiere poner al usuario en el centro de la compañía a través seis elementos claves entre los que destacan el ' bigdata ' y la ' internet de las cosas ' .,positivo
608,"aprovecharán los beneficios del bigdata , el software y la automatización avanzada para generar una disrupción en la agricultura global - local .",positivo
2548,"los data points son los datos que se acumulan y analizan mediante las diversas técnicas de bigdata y permiten luego obtener conclusiones - o al menos intuiciones - sobre comportamientos , en este caso , de los consumidores .",positivo
1407,el uso inteligente de bigdata por parte del gobierno mejora la comprensión de los fenómenos sociales y las posibilidades de que las políticas públicas impulsen el desarrollo de la sociedad .,positivo
2896,"para las empresas con gran cantidad de procesos operativos , bigdata puede ofrecer frutos inmediatos o quick - wins .",positivo
2895,"para las ciencias sociales , habituadas a un 30 por ciento de precisión a partir de estudios basados en censos que se hacen cada 10 años , el bigdata puede significar una revolución .",positivo
73,' el uso de bigdata produce un acceso más rápido y certero ; el tema es saber cómo las empresas van a aprovechar esos datos para tomar decisiones en forma ágil y adaptar sus procesos velozmente .,positivo
1228,"el exponencial crecimiento de los datos , la digitalización y el bigdata transformarán igualmente los modelos productivos , clave para anticipar a las necesidades del cliente , para tomar mejores decisiones empresariales y para impulsar la innovación , añadió .",positivo
907,"de a poco , el sector agropecuario profundiza su relación con los avances tecnológicos y de grandes bases de datos ( bigdata ) para obtener soluciones y aplicaciones que los productores tienen disponibles a un click de su alcance .",positivo
54,' el bigdata es un instrumento psicopolítico muy eficiente que permite adquirir un conocimiento integral de la dinámica inherente a la sociedad de la comunicación .,positivo
3157,"se llama ' bigdata ' , y es una herramienta tecnológica de última generación , que tiene la capacidad de capturar y analizar una enorme cantidad de datos en tiempo real para tomar decisiones .",positivo
2289,"la información recolectada permite generar patrones y modelos de comportamiento , gustos , y hasta sentimientos de las personas que con buenos analistas de bigdata podrán luego generar contenido que penetre fácilmente en los usuarios .",positivo
2439,"las industrias que apliquen recursos tecnológicos de generación 4 . 0 , como inteligencia_artificial , realidad virtual y bigdata , podrán incrementar su productividad un 25% en los próximos 5 años , según evaluó un análisis de consultores privados .",positivo
139,' la bigdata que genera un sitio como vorterix ayuda en parte a ver cuáles son los comportamientos de los usuarios de ese sitio .,positivo
3125,"rojas planteó que este año , el crecimiento del mercado de bigdata será de entre 26 y 30% , lo que representa un nivel de crecimiento mucho mayor que el de otras tecnologías .",positivo
2149,"la agenda digital está siendo impulsada por una combinación de tecnologías disruptivas vinculadas a la internet_cosas , el bigdata , la inteligencia_artificial , la movilidad y el uso masivo de sensores .",positivo
440,"acompañados del uso de bigdata , para llevar a cabo predicciones de cultivos más precisas , estas nuevas tecnologías comienzan a encontrar su lugar en el sector agropecuario .",positivo
3063,"por último , y por medio principalmente del bdaas ( bigdata as a service ) , ayudará a los clientes a gestionar y extraer el máximo valor de sus propios datos , utilizando las infraestructuras en la nube de telefónica .",positivo
700,"bigdata es una tendencia que está surgiendo y transformando , por un lado , la forma de hacer negocios y , por otro , el modo en que las personas comprenden el mundo a través de la tecnología .",positivo
800,"con bigdata , el rastreo y análisis de datos online es posible anticipar las compras de los usuarios , incluso antes de que lo sepan .",positivo
1750,"es por esto que los profesionales que finalmente logran desarrollar esas habilidades se encuentran en alta demanda , ya que poseen la clave para liberar el potencial de bigdata dentro de las organizaciones en las que se desempeñan .",positivo
74,"' el volumen de información crece 59% todos los meses , en tanto el valor del bigdata alcanza , solo en reino unido , unos us$ 75 billones .",positivo
1861,"este tipo de sistema inteligente , comenta , entrecruza múltiples fuentes de información lo que facilita la tarea de monitoreo de los cultivos con imágenes y fotografías satelitales , la esencia del bigdata .",positivo
3466,todo esa información denominada bigdata debe ser analizada y las empresas confían en que el análisis del gran flujo de información sirve para mantener competitivo y mejorar el rendimiento del negocio digital .,positivo
1642,"en tercer orden , bigdata facilita la segmentación de poblaciones para ajustar acciones .",positivo
1126,"el bigdata se emplea para realizar investigaciones , tomar precauciones en ciberseguridad , gestionar recursos en las ciudades o para hacer propuestas de marketing .",positivo
3031,"por otra parte , el bigdata está causando una revolución en el mundo empresarial , transformando de manera fundamental los modelos de negocio existentes y creando otros completamente nuevos .",positivo
1731,"es esta capacidad para obtener , medir y analizar datos para enfoques significativos lo que constituye la potencialidad de la tecnología bigdata .",positivo
1132,el bigdata tiene ventajas en todas las áreas de actividad y sectores .,positivo
1453,"en cuatro años , todo el gobierno deberá tener proyectos de bigdata para generar desarrollo social y económico .",positivo
2801,otra cara de bigdata es que el ciudadano tiene cada vez más acceso a ver datos de gobierno que antes sólo eran analizados al interior de las administraciones públicas .,positivo
3502,un ejemplo claro de innovación en cuanto a la aplicación de bigdata en el área de recursos humanos : el caso natura .,positivo
1916,"finalmente , a los que ya estén maduros para incursionar en social selling , pudiendo ofrecer sus productos y servicios a través de linkedin , podemos ayudar utilizando bigdata o la inteligencia_artificial de linkedin sales navigator .",positivo
926,"de hecho , dice luehr , el análisis de bigdata se ha convertido en la materia prima de muchos litigios .",positivo
3506,un ejemplo de uso de bigdata en tiempo real es la fórmula 1 .,positivo
3460,todas las recorridas del presidente fueron analizadas a partir del entrecruzamiento de los resultados de las paso y datos censales ( conocido como bigdata ) para elegir los distritos en los que hay mayores chances de crecer .,positivo
2508,"lo que denomina el ' proyecto palenque ' : una plataforma de bigdata pensada para impulsar proyectos agrícolas basados en el uso , análisis y procesamiento intensivo de grandes volúmenes de datos .",positivo
3082,prever situaciones ' para las empresas sería fantástico poder detectar que un empleado se irá antes de que lo haga ' mondelli da un ejemplo de cómo el uso de bigdata puede ayudar a tomar decisiones .,positivo
1380,"el término ' bigdata ' - o datos masivos - , refiere al registro , almacenamiento y análisis de grandes volúmenes de información recolectados por sistemas informáticos para diversos fines , desde publicitarios a detección de comportamientos o tendencias sociales .",positivo
2897,"para las empresas y otras organizaciones en la vanguardia de bigdata analytics , el objetivo principal es poder usar la inteligencia que surge de analizar grandes volúmenes de información para predecir y anticipar tendencias futuras .",positivo
1068,"el avance de la tecnología permitió el almacenamiento de ' bigdata ' conocido como bigdata , entre los que se pueden incluir las bases de datos de estado .",positivo
2024,hay un trabajo de bigdata muy importante que nos permite ver para dónde va el consumidor .,positivo
3233,"según varios especialistas en informática y ejecutivos del sector , 2008 fue el año en que el término ' bigdata ' empezó a cobrar popularidad en los círculos tecnológicos .",positivo
2790,"ocurre que el bigdata es probablemente una de las herramientas claves para derrotar a los yihadistas , y científicos informáticos –como zeeshan ul - hassan usmani , quien opera la compañía de datos masivos predictifyme– son fundamentales en esa tarea .",positivo
2948,pero bigdata también es poderosa .,positivo
1079,"el bigdata , inteligencia_artificial , machine learning e internet de las cosas dejaron de ser conceptos alejados para los empresarios del agro que comenzaron a adoptar rápidamente .",positivo
2153,"la aplicación móvil cuenta a diario a los productores cuánta agua necesita su campo , con tecnología de bigdata .",positivo
909,"de acuerdo con datos publicados por la revista forbes basados en un reporte de wanted analytics , la mitad de los profesionales con experiencia en bigdata gana más de 124 mil dólares por año .",positivo
247,' uno piensa que hacer bigdata es algo casi imposible pero en realidad se puede hacer y gracias a eso se pueden dar soluciones simples para problemas complejos y eso es lo que nosotros buscamos como empresa ' señala lucas olmedo .,positivo
2462,"las soluciones y prácticas de bigdata suelen ser necesarias cuando las tecnologías y técnicas tradicionales de análisis , procesamiento y almacenamiento de datos son insuficientes para resolver necesidades de un determinado estadío del negocio .",positivo
2541,los bigdata son sistemas complejos capaces de poder manejar un enorme volumen de información sin que ello vaya en detrimento de la velocidad y la variedad de esos datos .,positivo
3061,"por último , siempre de acuerdo al informe , bigdata permitiría generar modelos de negocios y servicios innovadores , como lo representa el uso de datos de sensores de productos para crear ofertas innovadoras post - venta .",positivo
2550,"los datos dentro de los entornos de bigdata generalmente se acumulan dentro de la empresa a través de aplicaciones , sensores y fuentes externas .",positivo
3471,"todo esto es posible , además , gracias al avance de tecnologías como mobile , la nube y bigdata , que permite estudiar grandes volúmenes de información para extraer conclusiones .",positivo
2440,las ligas mundiales de béisbol las definieron dos equipos que toman sus decisiones en base a manejo de bigdata .,positivo
1771,esas compañías usan información en forma inteligente desde hace muchísimos años y son las que obtienen mayor valor de bigdata gracias a sus mejores prácticas .,positivo
1248,el indec puede y debe hacer bigdata .,positivo
2745,netflix y amazon utilizan su bigdata en combinación con algoritmos de ia para poder realizar mejores recomendaciones a sus usuarios .,positivo
1870,esto es posible porque la tecnología de bigdata ofrece herramientas que permiten aprovechar los datos que los clientes generan por fuera de las propias empresas .,positivo
1074,"el bigdata ' se usa a nivel mundial , incluso la afip tiene un observatorio de datos .",positivo
2164,la bigdata es innovación diaria .,positivo
2727,"moneyball era el libro de michael lewis , y tanto esta obra —como la película— describen una historia real : a partir de bigdata y el análisis estadístico se puede modificar la estructura de un equipo .",positivo
778,"como resultado de este trabajo y mediante el uso de herramientas de análisis de bigdata , se lograron desarrollar algoritmos que nos permiten proyectar rendimientos para la futura campaña .",positivo
3583,veamos algunas áreas críticas dónde el ' bigdata ' puede constituir una ventaja comparativa : - fidelización y retención de clientes : un adecuado análisis de los datos permite brindar experiencias de compra personalizadas y altos niveles de retención de clientes .,positivo
2652,"marketing la relación clientes - bigdata en mercadeo los clientes son una de las principales razones que motivan la implementación de la tecnología de bigdata en cualquier compañía , ya sea para realizar acciones de fidelización o para identificar nuevos potenciales .",positivo
601,"antes y durante el mundial , la selección de alemania entrenó con un software especial de la empresa alemana sap , que permite administrar grandes volúmenes de datos , llamado bigdata .",positivo
2929,"pedro de alarcón , data scientist en luca ( grupo telefónica ) , explicará cómo el bigdata puede crear valor social , mientras que sebastián sajoux , fundador y ceo de arqlite , presentará una respuesta innovadora al problema de los residuos no reciclables .",positivo
2601,los principales clubes de fútbol de todos los continentes ya utilizan bigdata para mejorar su rendimiento .,positivo
2987,podemos explicar brevemente el bigdata mencionando que en los últimos dos años la humanidad generó más datos que en toda su historia previa .,positivo
2305,"la jornada , que es organizada por la agencia digital interactivo , se iniciará con charlas vinculadas a las nuevas oportunidades en la industria digital , bigdata , estrategia y creatividad y gobierno digital , entre otros temas .",positivo
2311,"la lista de aplicaciones para el bigdata ya sea en salud , política , ciudadanía y en el comercio a nivel global es larga y la fe que hay puesta en los resultados que se pueden obtener es enorme .",positivo
1714,"es así como gestionar en base a información objetiva , con la incorporación del bigdata , es una nueva manera de hacer negocios .",positivo
1120,el bigdata posee una gran cantidad de cámaras y de sensores que son capaces de tomar y analizar diversos tipos de información .,positivo
611,aquí radica el carácter innovador de bigdata : interpretar la información que el público mismo da en diversas fuentes .,positivo
813,"con el concepto de bigdata se profundiza la capacidad de las organizaciones de hacer un buen análisis del comportamiento de la información disponible , ahora dejamos de analizar transacciones para analizar interacciones .",positivo
2499,"lo hacen mediante herramientas de bigdata , modelos scoring e incorporando información de calidad para tener mayor eficacia en la detección cuando van a un establecimiento , de modo de lograr el mayor impacto posible .",positivo
1734,"es importante destacar que la tecnología permite que casi cualquier empresa , sin importar su tamaño , tiene a su alcance las herramientas para la implementación de bigdata .",positivo
2712,mirá también ¿ puede el bigdata salvar vidas ?,positivo
1289,el objetivo era recomendar el riego más eficiente para cultivos extensivos mediante modelos matemáticos y procesamiento de grandes cantidades de datos ( bigdata ) para reducir los costos .,positivo
1186,el ejecutivo consideró que la clave del éxito de un proyecto de bigdata es conocer cuál es la problemática del cliente .,positivo
1004,"durante la jornada se presentaron charlas vinculadas a las nuevas oportunidades en la industria digital , realidad virtual , bigdata , estrategia y creatividad , entre otros temas .",positivo
