doc_id,oracion,estado
1026,"el ‘bigdata’ permite acceder a la interioridad del ciudadano , a un perfil psicológico que voluntariamente vuelca en la red .",negativo
2687,"mediante el uso de herramientas de bigdata , lógicas de juegos , inteligencia artificial y app móviles pudimos descubrir cosas tan llamativas como que la gente interactúa digitalmente en shows sin diferencia significativa en la edad o género .",positivo
899,"dadas las nuevas tecnologías y las formas más complejas de llegar a las audiencias , navegar , aprovechar y activar la bigdata es una tarea que requiere conocimientos especializados , esto nos permitirá obtener mejores resultados para nuestros clientes ' .",positivo
2704,mientras la revista the economist y el financial times preguntaron ' ¿ es el bigdata basura ?,negativo
2536,"los avances tecnológicos han permitido a diversos actores de la sociedad , poder utilizar y sacarle provecho a los datos mediante estrategias englobadas dentro del accionar del bigdata .",positivo
233,"' tecnologías como la inteligencia_artificial y la realidad virtual , junto a la bigdata , ofrecen condiciones óptimas para una cuarta revolución industrial ' , aseguró el informe que marcó también ' el costo de quedar afuera ' de este proceso de evolución tecnológica .",positivo
858,consideramos que muchas industrias pueden obtener valor de iniciativas de bigdata .,positivo
2650,"marketing bigdata , un camino de ida en mercadeo la tendencia de almacenamiento y análisis de grandes volúmenes de datos está disponible y llegó para quedar .",positivo
1170,"el desafío principal es poder ofrecerles una comunicación personalizada , aprovechando las ventajas que nos brinda el bigdata y poder así llegar con una estrategia de marketing 1 to 1 a las necesidades de cada cliente .",positivo
2556,los defensores de la privacidad advierten que bigdata es big brother con disfraz empresarial .,negativo
2822,otro servicio novedoso de bigdata en crecimiento está en el sector de salud .,positivo
2436,las herramientas de bigdata que usaron para estudiar la microsegmentación del voto en las campañas electorales ahora les son de utilidad para detectar las zonas rojas de la agitación política .,positivo
1783,eso es el bigdata : una inmensa masa de datos que pueden ser eventualmente analizados y usados con un objetivo en particular .,positivo
2734,muchas industrias pueden obtener valor de iniciativas de bigdata .,positivo
3198,"según el director de la especialización en ciencias de datos del itba , alejandro vaisman : ' el fenómeno de bigdata puede producir un cambio fundamental en la forma de plantear modelos de negocios .",positivo
1103,el bigdata es tan útil para las empresas porque funciona como un punto de referencia .,positivo
3477,"todos en nuestro país , oficialistas y opositores , reconocen que la bigdata es la herramienta que en pleno siglo 21 te puede hacer ganar una elección .",positivo
2807,"otras empresas como netflix y amazon utilizan su bigdata en combinación con algoritmos de ia para poder realizar mejores recomendaciones a sus usuarios , haciendo que estos vean películas por más tiempo , o que compren más productos .",positivo
248,"' usando bigdata , por ejemplo , un gerente de recursos humanos puede detectar cuándo una persona valiosa está pensando en dejar la compañía e intentar una solución al problema antes de que sea demasiado tarde ' , ejemplificó verdonek .",positivo
135,"' integrados a bigdata , tenemos acceso a la audiencia multiplataforma de clarín y , a través de redes_sociales , a la audiencia extendida , donde monitoreamos en tiempo real tendencias y comportamientos de los usuarios .",positivo
2356,"la próxima ola será la seguridad predictiva , bigdata utilizado de manera inteligente para optimizar recursos .",positivo
338,¿ sirve por ejemplo el bigdata para salvar vidas ?,positivo
902,darle valor comercial al almacenamiento de datos digitales –el bigdata – se ha transformado en la piedra filosofal del mercadeo .,positivo
1247,el impacto que la bigdata puede generar en la arquitectura se hace evidente en gran parte debido a las exigencias que imponen los clientes .,positivo
2080,"incluso , a partir de un buen análisis y procesamiento de bigdata , existe la posibilidad de ofrecer alternativas ajustadas a cada persona de acuerdo a sus intereses de búsqueda ' , explica shuring .",positivo
697,bigdata e inteligencia_artificial son la enorme posibilidad de recuperar y hacer real la promesa de la personalización .,positivo
965,"desde curar enfermedades a preservar recursos valiosos tales como el agua y la energía , el bigdata puede ser la herramienta que necesitamos para hacer frente a muchos de los problemas más urgentes de nuestro tiempo ' .",positivo
3037,"por otro lado , el bigdata analyst debe tener habilidades para comunicar resultados a través de herramientas gráficas que permitan crear modelos predictivos y análisis estadístico .",positivo
779,"como resultado de este trabajo y mediante el uso de herramientas de análisis de bigdata , se lograron desarrollar algoritmos que permiten proyectar rendimientos para la futura campaña .",positivo
3102,quadminds es una empresa que usa internet_cosas y bigdata para optimizar procesos logísticos .,positivo
1127,"el bigdata se utiliza con la idea de analizar impacto , alcance , temáticas derivadas y varios indicadores que le permitan a las organizaciones conocer en profundidad a su audiencia ' , señaló giménez .",positivo
2375,"la tecnología 5g acelerará la transformación digital en varias industrias , haciendo posible nuevos casos de uso , en áreas tales como el internet de las cosas ( iot ) , automatización , transporte y bigdata ' .",positivo
2427,las empresas usan bigdata para buscar oportunidades de negocio a nivel individual y enfocar campañas personalizadas .,positivo
62,"' el concepto de poder predecir el futuro ' tiene mucho que ver con bigdata , porque el análisis de datos obtiene resultados ' .",positivo
2142,"la actividad busca promover las nuevas tecnologías para el desarrollo de negocios sociales y la innovación , aprovechar fenómenos como bigdata , cloud , mobile , internet of things y social media para generar aplicaciones que permitan impulsar la industria digital en argentina .",positivo
1273,el mundo del bigdata ha permitido transformar miles de documentos en unos cuantos datos discretos .,positivo
2519,lo que tiene mayor novedad es el bigdata .,positivo
1057,"el analista en tic ofrece cuatro perfiles : aplicaciones web , aplicaciones móviles , almacenamiento en la nube ( cloud ) y bigdata , seguridad y privacidad , ' lo que genera posibilidades laborales a los egresados ya que son todos temas de mucha demanda ' , destacó .",positivo
3551,"una vez concluido el trabajo en base a datos de millones de clientes , se dieron cuenta de que algunas consultoras ya habían hecho estudios similares para otros bancos , sin bigdata y con resultados similares .",positivo
2152,la aplicación de técnicas de análisis de bigdata - los llamados ' bigdata ' - a estos tesoros de la información les permite a las agencias ofrecer mejores resultados para sus clientes .,positivo
145,"' la era del bigdata nos provee una foto de nuestra cultura única en la historia y abre la puerta a preguntas sobre nuestra sociedad ' , dijo .",positivo
110,' este año apuntamos a crear una sinergia con el sector académico para realizar estudios con técnicas de bigdata y análisis de un gran volumen de datos de movilidad que recolectamos durante los últimos años con la plataforma .,positivo
1109,el bigdata llegó hace rato y quienes tienen las herramientas para manejar los grandes volúmenes de información sacan ventaja .,positivo
2424,las empresas que usan bi y bigdata tienen una visión práctica de sus datos .,positivo
2627,"los vehículos serán fabricados con compañías automotrices como saic y dongfeng , y utilizarán inteligencia de datos ( bigdata ) para optimizar la ruta de entrega , publica la prensa china .",positivo
445,"además , - agregó di bella - mediante machine learning podremos avanzar en aspectos asociados a los pronósticos meteorológicos y con bigdata analytics profundizaremos la modelización de ciertos sistemas de producción .",positivo
3001,"por cuarto año consecutivo , bigdata y analytics surgen como la principal habilidad en falta ( 46 % ) .",positivo
